,count,mean,min,25%,50%,75%,max,std
first_order_date,19945,2019-03-22 16:43:55.246929152,2013-01-14 00:00:00,2019-02-16 00:00:00,2019-08-20 00:00:00,2020-01-01 00:00:00,2021-05-27 00:00:00,
last_order_date,19945,2021-01-17 12:59:57.653547264,2020-05-30 00:00:00,2020-11-11 00:00:00,2021-02-10 00:00:00,2021-04-19 00:00:00,2021-05-30 00:00:00,
last_order_date_online,19945,2020-08-10 01:08:52.644773120,2014-02-24 00:00:00,2020-06-18 00:00:00,2020-12-14 00:00:00,2021-04-05 00:00:00,2021-05-30 00:00:00,
last_order_date_offline,19945,2020-05-17 12:07:24.021057792,2019-01-22 00:00:00,2019-11-04 00:00:00,2020-06-22 00:00:00,2020-12-25 00:00:00,2021-05-28 00:00:00,
order_num_total_ever_online,19945.0,3.1108548508398095,1.0,1.0,2.0,4.0,200.0,4.225646939107766
order_num_total_ever_offline,19945.0,1.91391326146904,1.0,1.0,1.0,2.0,109.0,2.062880215351635
customer_value_total_ever_offline,19945.0,253.9225971421409,10.0,99.99,179.98,319.97,18119.14,301.5328529997191
customer_value_total_ever_online,19945.0,497.32169014790674,12.99,149.98,286.46,578.44,45220.13,832.601885824381
