,,D,C,B,A
exp_sales_3_month,max,1.1166869323733049,1.3819137377175312,1.8405626842880778,3.3931199262284593
exp_sales_3_month,std,0.13731924126737183,0.13279530785309127,0.16286077595774118,0.2910384122749144
exp_sales_6_month,count,3807.0,3807.0,3807.0,3807.0
exp_sales_6_month,mean,0.9073351254600767,1.163698516930941,1.3266241579385898,1.6877327584226285
exp_sales_6_month,min,0.3324444537316387,0.3834762824887946,0.4366687107454167,0.6895102979693251
exp_sales_6_month,25%,0.700596285327881,0.9993563570984308,1.1031971807093888,1.2870873263313063
exp_sales_6_month,50%,0.9084974264989706,1.132619144138521,1.2756271714787597,1.5643532108332265
exp_sales_6_month,75%,1.095436341316588,1.3013139036518548,1.507419198399009,1.936736696385431
exp_sales_6_month,max,2.2333738647466195,2.7638274754350682,3.681125368576164,6.786239852456956
exp_sales_6_month,std,0.27463848253474377,0.2655906157061831,0.3257215519154821,0.58207682454983
exp_average_value,count,3807.0,3807.0,3807.0,3807.0
exp_average_value,mean,99.57998515154446,130.10042103595788,162.85005565323334,228.22219762476007
exp_average_value,min,25.443196627282855,47.72586370225888,50.55376662526586,65.65479795137975
exp_average_value,25%,79.36397128327302,108.86844478845236,135.15470439333652,173.35528420386248
exp_average_value,50%,95.71028657381031,126.02893237893537,159.48115280770432,210.80842083055174
exp_average_value,75%,114.70196500932192,145.5316162742832,186.2572542415268,261.44304741182265
exp_average_value,max,325.14212218110106,384.6642084409186,406.59339811558823,1139.227581901295
exp_average_value,std,30.782107636564113,31.85719192187169,39.51751452293245,84.28838369158551
clv,count,3807.0,3807.0,3807.0,3807.0
clv,mean,89.94713117311062,151.48806924175375,215.2271749065011,384.06296966904716
clv,min,14.47047910806099,124.03002435257736,179.72889521552216,256.6748638296672
clv,25%,73.47772254480587,137.8724981924779,196.37492086576555,290.2547584827404
clv,50%,92.84475930232432,151.102730087052,213.76515347576128,335.0648871312624
clv,75%,109.74803488340476,165.3195788644033,233.61767981467779,420.47361108549484
clv,max,124.02830314028145,179.72154710780114,256.6059897108152,2726.875586225673
clv,std,23.346369970513692,15.977964364091724,21.90924752882987,153.07923529294473
